ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-03-20,11545.512016365989,9458.303430819362,15553.53623929432,11545.512016365989,11545.512016365989,874.8016233766307,874.8016233766307,874.8016233766307,874.8016233766307,874.8016233766307,874.8016233766307,0.0,0.0,0.0,12420.313639742619,12420,9458,15553
2020-03-21,12727.692713904671,10279.495066825544,16690.01082024055,12727.692713904671,12727.692713904671,727.2987974308088,727.2987974308088,727.2987974308088,727.2987974308088,727.2987974308088,727.2987974308088,0.0,0.0,0.0,13454.99151133548,13454,10279,16690
2020-03-22,13909.873411443308,10924.25847159385,16788.146129463916,13909.873411443308,13909.873411443308,-165.70172477239834,-165.70172477239834,-165.70172477239834,-165.70172477239834,-165.70172477239834,-165.70172477239834,0.0,0.0,0.0,13744.17168667091,13744,10924,16788
2020-03-23,16678.14037424406,12443.42734634285,18624.80116599928,16678.14037424406,16678.14037424406,-905.3214847581547,-905.3214847581547,-905.3214847581547,-905.3214847581547,-905.3214847581547,-905.3214847581547,0.0,0.0,0.0,15772.818889485905,15772,12443,18624
2020-03-24,19446.407337044737,15757.003189099876,21517.60763626887,19446.407337044737,19446.407337044737,-728.2893533207342,-728.2893533207342,-728.2893533207342,-728.2893533207342,-728.2893533207342,-728.2893533207342,0.0,0.0,0.0,18718.117983724,18718,15757,21517
2020-03-25,22214.67429984549,19122.01010517945,24823.10165354352,22214.67429984549,22214.67429984549,-191.3747991072601,-191.3747991072601,-191.3747991072601,-191.3747991072601,-191.3747991072601,-191.3747991072601,0.0,0.0,0.0,22023.29950073823,22023,19122,24823
2020-03-26,24982.94126264617,22599.133845835586,28323.95838953036,24982.94126264617,24982.94126264617,388.5869411491951,388.5869411491951,388.5869411491951,388.5869411491951,388.5869411491951,388.5869411491951,0.0,0.0,0.0,25371.528203795366,25371,22599,28323
2020-03-27,27751.20822544692,25821.792199419662,31688.26232008787,27751.20822544692,27751.20822544692,874.8016233768652,874.8016233768652,874.8016233768652,874.8016233768652,874.8016233768652,874.8016233768652,0.0,0.0,0.0,28626.009848823785,28626,25821,31688
2020-03-28,30519.47518824773,27971.617577994613,34309.04369812676,30519.47518824773,30519.47518824773,727.2987974304198,727.2987974304198,727.2987974304198,727.2987974304198,727.2987974304198,727.2987974304198,0.0,0.0,0.0,31246.773985678148,31246,27971,34309
2020-03-29,35571.52394244943,32447.715771512056,38456.76904005599,35571.52394244943,35571.52394244943,-165.70172477313912,-165.70172477313912,-165.70172477313912,-165.70172477313912,-165.70172477313912,-165.70172477313912,0.0,0.0,0.0,35405.82221767629,35405,32447,38456
